"","x"
"1",4
"2",7
"3",7
"4",10
"5",9
"6",10
"7",5
"8",9
"9",1
"10",8
"11",8
"12",9
"13",2
"14",10
"15",4
"16",3
"17",3
"18",6
"19",1
"20",10
"21",2
"22",8
"23",7
"24",5
"25",1
"26",7
"27",4
"28",9
"29",1
"30",3
"31",7
"32",3
"33",4
"34",6
"35",6
"36",2
"37",2
"38",5
"39",9
"40",5
"41",1
"42",5
"43",2
"44",4
"45",5
"46",4
"47",9
"48",7
"49",8
"50",10
"51",10
"52",4
"53",7
"54",10
"55",9
"56",5
"57",5
"58",6
"59",4
"60",6
"61",9
"62",1
"63",3
"64",10
"65",9
"66",4
"67",4
"68",4
"69",6
"70",4
"71",3
"72",5
"73",6
"74",1
"75",7
"76",8
"77",10
"78",6
"79",7
"80",2
"81",9
"82",3
"83",5
"84",7
"85",10
"86",8
"87",8
"88",10
"89",6
"90",5
"91",4
"92",5
"93",4
"94",10
"95",4
"96",7
"97",9
"98",3
"99",2
"100",9
"101",2
"102",2
"103",4
"104",10
"105",8
"106",6
"107",1
"108",2
"109",3
"110",10
"111",2
"112",4
"113",4
"114",2
"115",2
"116",4
"117",2
"118",3
"119",2
"120",2
"121",6
"122",8
"123",2
"124",4
"125",8
"126",2
"127",2
"128",6
"129",6
"130",6
"131",1
"132",7
"133",1
"134",7
"135",1
"136",5
"137",5
"138",6
"139",1
"140",10
"141",1
"142",7
"143",4
"144",6
"145",4
"146",5
"147",1
"148",3
"149",1
"150",5
"151",5
"152",1
"153",2
"154",3
"155",8
"156",2
"157",5
"158",1
"159",5
"160",9
"161",9
"162",10
"163",7
"164",7
"165",5
"166",3
"167",3
"168",8
"169",9
"170",5
"171",6
"172",7
"173",1
"174",6
"175",8
"176",2
"177",8
"178",8
"179",8
"180",10
"181",10
"182",6
"183",2
"184",10
"185",1
"186",2
"187",6
"188",3
"189",6
"190",9
"191",8
"192",5
"193",8
"194",10
"195",4
"196",9
"197",4
"198",10
"199",10
"200",4
"201",10
"202",1
"203",2
"204",3
"205",8
"206",6
"207",1
"208",4
"209",4
"210",2
"211",6
"212",9
"213",2
"214",3
"215",1
"216",10
"217",10
"218",5
"219",5
"220",7
"221",4
"222",9
"223",3
"224",4
"225",3
"226",10
"227",8
"228",9
"229",10
"230",1
"231",7
"232",2
"233",7
"234",5
"235",7
"236",3
"237",9
"238",6
"239",5
"240",6
"241",2
"242",6
"243",4
"244",9
"245",6
"246",4
"247",9
"248",5
"249",1
"250",5
"251",1
"252",10
"253",9
"254",7
"255",5
"256",3
"257",3
"258",3
"259",1
"260",7
"261",1
"262",1
"263",8
"264",2
"265",2
"266",3
"267",2
"268",3
"269",9
"270",8
"271",6
"272",9
"273",5
"274",9
"275",5
"276",5
"277",6
"278",6
"279",8
"280",4
"281",5
"282",5
"283",5
"284",7
"285",4
"286",2
"287",3
"288",7
"289",1
"290",3
"291",8
"292",1
"293",1
"294",10
"295",4
"296",7
"297",8
"298",5
"299",4
"300",2
"301",7
"302",8
"303",10
"304",8
"305",5
"306",10
"307",10
"308",10
"309",3
"310",7
"311",8
"312",2
"313",9
"314",1
"315",8
"316",8
"317",1
"318",8
"319",9
"320",5
"321",2
"322",10
"323",4
"324",6
"325",5
"326",1
"327",3
"328",3
"329",1
"330",2
"331",9
"332",4
"333",8
"334",6
"335",1
"336",6
"337",2
"338",9
"339",7
"340",6
"341",4
"342",7
"343",4
"344",3
"345",2
"346",9
"347",1
"348",10
"349",2
"350",1
"351",3
"352",2
"353",8
"354",9
"355",3
"356",2
"357",2
"358",8
"359",1
"360",4
"361",1
"362",2
"363",4
"364",8
"365",8
"366",10
"367",2
"368",10
"369",5
"370",1
"371",5
"372",10
"373",4
