id	Sample_01	Sample_02	Sample_03	Sample_04	Sample_05	Sample_06	Sample_07	Sample_08	Sample_09	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16
Gene_01	4.910590e+000	4.625591e+000	5.179756e+000	5.067040e+000	5.742831e+000	5.088438e+000	5.308925e+000	5.291712e+000	4.728642e+000	5.717383e+000	4.746859e+000	4.536248e+000	5.006703e+000	5.029004e+000	4.839285e+000	4.439674e+000
Gene_02	1.378366e+001	1.313659e+001	1.318080e+001	1.304039e+001	1.285020e+001	1.307311e+001	1.308708e+001	1.283204e+001	1.494337e+001	1.385601e+001	1.526048e+001	1.473120e+001	1.407628e+001	1.433336e+001	1.472260e+001	1.496601e+001
Gene_03	1.206109e+001	1.228718e+001	1.307039e+001	1.365058e+001	1.385829e+001	1.284260e+001	1.229081e+001	1.303069e+001	1.313354e+001	1.492688e+001	1.240476e+001	1.337704e+001	1.369588e+001	1.449486e+001	1.413746e+001	1.334895e+001
Gene_04	1.163286e+001	1.187613e+001	1.274444e+001	1.265848e+001	1.316320e+001	1.199053e+001	1.196719e+001	1.281462e+001	1.174452e+001	1.328955e+001	1.088325e+001	1.136912e+001	1.209084e+001	1.249569e+001	1.140430e+001	1.145426e+001
Gene_05	1.471915e+001	1.465582e+001	1.462532e+001	1.590959e+001	1.545811e+001	1.473965e+001	1.516974e+001	1.501389e+001	1.404812e+001	1.490282e+001	1.295974e+001	1.356387e+001	1.405536e+001	1.444068e+001	1.412294e+001	1.375766e+001
Gene_06	1.229309e+001	1.223150e+001	1.246521e+001	1.321325e+001	1.262511e+001	1.217564e+001	1.243696e+001	1.244772e+001	1.322053e+001	1.270023e+001	1.293326e+001	1.284010e+001	1.320024e+001	1.318535e+001	1.264224e+001	1.279688e+001
Gene_07	1.256025e+001	1.270944e+001	1.249443e+001	1.341119e+001	1.360055e+001	1.235286e+001	1.227229e+001	1.342223e+001	1.472970e+001	1.546736e+001	1.385071e+001	1.430646e+001	1.524792e+001	1.555251e+001	1.490093e+001	1.404496e+001
Gene_08	1.226929e+001	1.257678e+001	1.260700e+001	1.302084e+001	1.286144e+001	1.232403e+001	1.230173e+001	1.318580e+001	1.520870e+001	1.460427e+001	1.472187e+001	1.455580e+001	1.498493e+001	1.492002e+001	1.452968e+001	1.471874e+001
Gene_09	9.818609e+000	9.287813e+000	8.950236e+000	8.184364e+000	8.108341e+000	9.431374e+000	9.166525e+000	9.251739e+000	1.095036e+001	9.816156e+000	1.259677e+001	1.198735e+001	1.119783e+001	1.031248e+001	1.113433e+001	1.168723e+001
Gene_10	1.424323e+001	1.452187e+001	1.462110e+001	1.364606e+001	1.345706e+001	1.404242e+001	1.397117e+001	1.373410e+001	1.229332e+001	1.201111e+001	1.347426e+001	1.330202e+001	1.233805e+001	1.222961e+001	1.280133e+001	1.247231e+001
