SNP	gene	t-stat	p-value	FDR
Snp_05	Gene_03	39.2392008155136	4.84141461735187e-14	7.2621219260278e-12
Snp_13	Gene_09	-3.92111812591963	0.00203101095896383	0.152325821922288
Snp_11	Gene_06	-3.23978528962992	0.00708946027811122	0.289092333713609
Snp_04	Gene_10	3.16915142314191	0.00808234621748985	0.289092333713609
Snp_14	Gene_01	3.07447076181828	0.00963641112378698	0.289092333713609
Snp_05	Gene_10	2.50426651594981	0.0276977306837502	0.536138772775221
Snp_01	Gene_01	2.49179926438941	0.0283384565834505	0.536138772775221
Snp_10	Gene_02	-2.48690174800458	0.0285940678813451	0.536138772775221
Snp_12	Gene_06	2.34498438562647	0.0370487321520053	0.617478869200088
Snp_05	Gene_08	-2.16477725630913	0.0512715761128629	0.712949799473781
Snp_07	Gene_06	2.07546470888742	0.0601037808049424	0.712949799473781
Snp_10	Gene_01	2.00910875079155	0.0675659659289384	0.712949799473781
Snp_13	Gene_05	2.00824241877736	0.0676688518676087	0.712949799473781
Snp_07	Gene_10	1.97763517538838	0.0713982747134557	0.712949799473781
Snp_09	Gene_09	-1.89230608841744	0.0828188772600989	0.712949799473781
Snp_05	Gene_06	-1.84729125186681	0.089495479661057	0.712949799473781
Snp_09	Gene_06	1.84273172173951	0.0901983438336108	0.712949799473781
Snp_14	Gene_02	-1.81153966363789	0.0951424024673949	0.712949799473781
Snp_02	Gene_10	1.80589096094889	0.0960635062498639	0.712949799473781
Snp_12	Gene_02	1.78606915344099	0.0993597083416473	0.712949799473781
Snp_12	Gene_08	1.78338989715986	0.0998129719263294	0.712949799473781
