SNP	gene	t-stat	p-value	FDR	is_cis-
Snp_05	Gene_03	39.2392008155136	4.84141461735187e-14	4.84141461735187e-12	1
Snp_04	Gene_10	3.16915142314191	0.00808234621748985	0.404117310874493	1
Snp_05	Gene_10	2.50426651594981	0.0276977306837502	0.571881357626903	1
Snp_01	Gene_01	2.49179926438941	0.0283384565834505	0.571881357626903	1
Snp_10	Gene_02	-2.48690174800458	0.0285940678813451	0.571881357626903	1
Snp_05	Gene_08	-2.16477725630913	0.0512715761128629	0.738950048075876	1
Snp_07	Gene_06	2.07546470888742	0.0601037808049424	0.738950048075876	1
Snp_10	Gene_01	2.00910875079155	0.0675659659289384	0.738950048075876	1
Snp_07	Gene_10	1.97763517538838	0.0713982747134557	0.738950048075876	1
Snp_09	Gene_09	-1.89230608841744	0.0828188772600989	0.738950048075876	1
Snp_05	Gene_06	-1.84729125186681	0.089495479661057	0.738950048075876	1
Snp_09	Gene_06	1.84273172173951	0.0901983438336108	0.738950048075876	1
Snp_02	Gene_10	1.80589096094889	0.0960635062498639	0.738950048075876	1
