glist01,dd
CCL5,0.622598026056774
MLC1,0.613265916813431
TUBA4A,0.55046731959348
AGT,0.522489121882015
MYCT1,0.498846477566966
SST,0.49070715714395
HSP90AA1,0.426127397605401
TAC1,0.407571521037209
ATP1B2,0.402197786743826
S100P,0.398476585606425
RGMA,0.394027763777382
DHRS2,0.389266794414879
GDF15,0.376976167570361
NEFM,0.361472593774467
VWF,0.353542844137682
EGR4,0.336960778525249
S100A6,0.318416033963867
PI16,0.308478516699398
RRAD,0.306437007792076
KRT14,0.289017134223689
HSPA1B,0.281949256144389
TNFAIP6,0.278870088150912
SLC12A7,0.273333543652163
TMSB10,0.269924815888858
C19orf66,0.264807922627266
KRTAP4-8,0.262578934011248
SPP1,0.262544571877383
CCK,0.261451572458412
HIST3H2A,0.254988591974256
IL1B,0.247303400335039
SERF2,0.246510520019
CFAP45,0.246100816715645
DLX5,0.244836322030048
IL1A,0.242009415241341
CYP1A1,0.238471309620063
MX1,0.233164865702541
SOST,0.228321414877207
CCL7,0.224268579176587
LRRN3,0.222465718148472
CPA4,0.220470268588055
KRT10,0.218385504119434
AKR1B1,0.216910920534099
UCHL1,0.215661842043386
FASLG,0.214447260723208
PTGR1,0.209211959361698
NAALAD2,0.209208452336328
LIF,0.207851301517511
ENY2,0.206301738700024
CD83,0.204440177698817
PARP16,0.196219742478331
TNFRSF4,0.193303683969524
HSPB8,0.193061306358811
RPL38,0.19233690683335
DDX5,0.190807883278655
TNFAIP2,0.186896021828748
C4orf48,0.186301376735224
HLA-E,0.184759680808669
IFITM3,0.183433496783688
XAF1,0.183409679546796
TMA7,0.181811412067871
MCL1,0.17992811749422
KRTAP4-7,0.17963973540958
ICAM4,0.177658643092634
RNF213,0.175997951333904
IFI6,0.173403099109498
TNFRSF12A,0.173382223879266
EREG,0.172708690241984
SEMA4D,0.170977674141695
ARC,0.169487555231162
SBF2,0.168698620801775
HELZ2,0.165595908132707
ACTN2,0.165084318392552
RBCK1,0.162730471922407
TAP1,0.162627532716899
DLGAP1,0.162398246556569
OAS3,0.160640853975815
ADH1B,0.160419256783778
HIST1H2BH,0.160273050983673
MRPS21,0.158358203823822
GNG5,0.156038759534948
HLA-C,0.155278242955662
NPPC,0.153834052702751
ZNFX1,0.153691847872041
IDO1,0.151962281917985
OGFR,0.15186532852649
LAMP3,0.15180111605169
KRTAP3-2,0.149484779746133
KRT17,0.149242056482677
MYO16,0.149172166080056
H3F3B,0.148510993457357
CLEC2L,0.148277222535905
CA8,0.148277222535901
G0S2,0.147952422440867
GPR84,0.14641130972683
WDR93,0.145035044607848
EXOC3L2,0.145035044607843
DYNLT1,0.144039650860887
KRTAP1-1,0.143002424587428
PSME2,0.141881248639203
KLF6,0.141391624175276
BAMBI,0.140640192486067
CLU,0.140229334259319
RPL36AL,0.139825224911381
RPSA,0.138348858038453
MED9,0.138242014630746
GADD45G,0.138017747915612
ACSBG1,0.136750726268739
HSPA6,0.13528187204863
CKM,0.135099922418428
IFIT3,0.134942093076303
NDUFC1,0.134612840398455
IFI44,0.133531310889625
ACP6,0.133463464768237
CD44,0.133204684153475
PFN1,0.13269486957169
PLAC8L1,0.131590174011603
PDCD5,0.130915168900307
CXCL6,0.130534795257282
NOP10,0.130355398810165
MT2A,0.130042937489682
IFI35,0.129373081437932
HIP1R,0.12911198909581
COX6B1,0.127760275905422
IFITM1,0.127035217272078
RPL32,0.126825537508613
CEBPB,0.126752925676965
HSD17B4,0.125761888247348
ATF4,0.125093525691947
STAT2,0.124654065529259
LGALS1,0.124528631670625
TRIM25,0.124494412465639
ADAR,0.123784970748811
ANGPTL4,0.12282857607212
RNF114,0.122025403706735
KRTAP4-9,0.121892419273082
RBM39,0.121492275183861
IFIT1,0.121422181179285
ISG15,0.120977699305383
IFITM2,0.120151938954297
LSM7,0.119600796982396
ZC3HAV1,0.118608529782084
TRIM56,0.117559327953055
MROH8,0.116614282541361
C4orf3,0.116449393768608
B2M,0.116383461334646
BOLA3,0.116144765605748
ADRA2A,0.115955790242991
SNRPG,0.115194343792965
KNDC1,0.11509072702241
APOL2,0.114198037954861
ARL4D,0.11376388056634
IRF1,0.11326450738827
UQCR10,0.113155791029139
HLA-B,0.112839682424335
TNFSF9,0.112247649951787
TEKT4,0.112235198245844
S100A11,0.111977754611684
SLC25A19,0.111861729094697
KRT16,0.111762906957164
ARHGDIG,0.111604893894748
PML,0.111445648769156
KRT18,0.111337410056925
MYDGF,0.111239788549669
RBX1,0.111200057193364
SYT7,0.110750475072068
NDUFB1,0.110225278042062
S100A13,0.107880138742955
PARP14,0.107386402589498
DIO2,0.106841408767904
HIST1H2AE,0.106811403817228
CARD14,0.106563823814207
ANK3,0.106430992877064
CELF5,0.106430992877054
COX7C,0.10628530403808
PDLIM7,0.105765043077736
KRT8,0.105720926422612
PDGFB,0.105297577199036
RSPO4,0.105164746261886
TNFRSF18,0.104784734146861
DAW1,0.104651903209724
SLN,0.104651903209716
ICAM1,0.104394128650521
MRPL57,0.103984659341678
TMEM151A,0.103978140531117
BRD2,0.10386653077411
PSMB8,0.103691407480053
SYCP2,0.103422401015045
CCDC146,0.103222092371937
DYNLL1,0.102784979085413
SERPINB2,0.10247408663195
POLR2L,0.102093501269158
PLSCR1,0.101935450977555
SRSF5,0.101473123409036
LARP6,0.100878175407756
KDELR2,0.100760248619281
RBBP6,0.100215314883466
SLFN5,0.100169958422277
EMC6,0.0998095275928039
RASGRP2,0.0996988236352244
LIMA1,0.099245933011189
RPS3A,0.0987666434926214
ZYX,0.0985609749709489
OLR1,0.0985448162295665
RSPO3,0.0984566114130595
GRINA,0.0984456813839052
IRF7,0.0979462062100212
MTDH,0.0978850170664206
HSP90AB1,0.0978722135783755
PTHLH,0.0975204701347062
ARF1,0.0974928918352464
PDLIM3,0.0967940995060025
SULT1A1,0.0967940995060007
SAP18,0.0961435369533398
TNNC1,0.0959915885575928
RNF207,0.0955622367820567
UBE2L6,0.0955477211419599
HIST1H4E,0.0953332639461128
RHOH,0.0952460589266728
MRPL33,0.0950819730832211
TMED2,0.0950286464080218
NME2,0.0947702733852194
SP100,0.0937804455405272
PRDX2,0.0937218604559877
PPP1R3E,0.093661019513314
CH25H,0.0929948289840073
RPS10,0.0929070511776815
VAMP5,0.0927803794636291
C15orf48,0.0926866146418783
HSPA1A,0.0923888127307276
TRIM38,0.0923204319267454
MRPL14,0.0920382818878275
FAM210A,0.0920027896028312
MYL12A,0.0914614679711853
FOS,0.0914466585781975
ECHDC3,0.0914339501907916
EIF2AK2,0.0911353115689569
TNFSF10,0.0907402402092618
PCBD1,0.0903774381079006
FMO5,0.0902069805838636
NDUFA3,0.0899649123530549
NDUFA2,0.0897994994192643
BIRC2,0.0893798895302935
ROMO1,0.0892771440284618
CNP,0.0886521197675151
SCO2,0.0884402568048627
IFI44L,0.0883962891417943
SNU13,0.0881989672371911
CXCL8,0.0880425039157736
IFI27L2,0.0874129492578711
RNASEK,0.0873434739612241
VKORC1,0.0872496956767973
PFDN2,0.0871963560408512
ENC1,0.0871197925819536
RARRES3,0.0870606866346613
MEOX1,0.0868852663717839
ITGB1,0.0866405760301617
PSG6,0.086412144333599
GBP1,0.0863531399135936
TTC3,0.0862330420882311
ZNF706,0.0859230512744237
PTGS2,0.0851340156200839
GRAP,0.0851061767044366
RPS6KA1,0.0851061767044346
ACTA2,0.0849331912940431
LCNL1,0.0848958123641491
TCAIM,0.0848610817258011
AURKAIP1,0.0848115496779137
SNRPD2,0.0841599689955843
RHPN2,0.0836903294037512
GABARAP,0.0835173185849637
TMEM59,0.0834976825885186
NPAS4,0.0833613728559936
ISLR,0.0832630324370095
OAS2,0.0831730662780126
PRTG,0.0831384415915646
SLC40A1,0.0831384415915625
LRP12,0.082787193282532
NPTX1,0.0827251934956852
MOCS1,0.0826577366099868
TNFAIP3,0.0825412267264197
TICAM1,0.0825346101321654
EEF1B2,0.0825129924833405
RAB11FIP1,0.0820358732763812
TAPBP,0.0820207893662803
HOXA13,0.0811597421586437
UBE2D3,0.0807700114290068
KRTCAP2,0.0804627608044964
IL11,0.0804455689489661
ANGPT2,0.080367447669893
RBFOX2,0.0798117608220342
TNFSF13B,0.0797786451075159
EIF3L,0.0796703325596051
PNISR,0.0796653303550886
EGR1,0.0794303608967742
DDX17,0.0793504781206042
ECEL1,0.0792298154310676
COX6C,0.0790784909144684
GAL,0.0787586773212098
PPP1R18,0.0785416892820422
FKBP2,0.0783717374322484
WFDC1,0.0777673913320134
RASSF9,0.0775196465963307
PEX13,0.077347156016971
ST3GAL6,0.0772483730007294
TMEM230,0.0772363514330651
LSM4,0.0772279694788669
PROCR,0.0772119961014799
MRPL36,0.0770964337149629
FIBIN,0.0770731378663538
RPS12,0.0768511117401229
TOMM7,0.0766040600673823
FKBP1A,0.0761708313608867
SLC38A2,0.0761545629664991
ARPC1A,0.0758836196009443
NCBP2-AS2,0.0758364531293002
TTI1,0.075764902043957
RPL26L1,0.0757422999329385
SLC25A28,0.075724216842497
PDLIM2,0.0755591392819878
C14orf132,0.0754640285830282
RBMS1,0.0752602213797637
DDX58,0.075209321375999
COL6A2,0.0752027590529311
PKM,0.0751892217522104
NBL1,0.0751269345301475
OSTC,0.0750570209677407
GIPR,0.074750934018914
OAS1,0.074674762451157
EWSR1,0.0746709113994617
CDV3,0.0745910479365174
HIF1A,0.0743679498807583
NAA38,0.0743185269437115
CALR,0.0741826068026148
MAN2A2,0.0741512090257809
CALU,0.0741020579967562
BLOC1S1,0.0740517993682337
ZNF469,0.0738494472044622
ZNF207,0.0735375637261486
PDIA6,0.0735205007450426
NAPA,0.0734105538377119
LDLRAD4,0.0731677773679794
HERC6,0.073059028417528
LOX,0.0729972565359757
TMED3,0.0728611195512726
PDP2,0.0728491955654559
CFB,0.0728351186725157
CCDC12,0.0728088104402254
PLPP6,0.0727607939811859
EDN1,0.0726178337034736
RBM8A,0.0725833338409586
LDHB,0.0725441187983333
ESCO1,0.0724581177509026
COX17,0.0722628450961701
CCNI,0.0722255342614853
TMEM219,0.0721910078613623
DMTN,0.0720383341609352
MX2,0.0719770434571122
