"","x"
"1",5
"2",6
"3",4
"4",1
"5",1
"6",7
"7",7
"8",8
"9",7
"10",9
"11",3
"12",9
"13",1
"14",5
"15",10
"16",7
"17",1
"18",9
"19",8
"20",3
"21",5
"22",1
"23",9
"24",8
"25",4
"26",5
"27",1
"28",9
"29",10
"30",2
"31",6
"32",7
"33",9
"34",3
"35",1
"36",9
"37",9
"38",6
"39",1
"40",9
"41",7
"42",5
"43",6
"44",5
"45",5
"46",1
"47",2
"48",1
"49",10
"50",5
"51",6
"52",7
"53",9
"54",1
"55",8
"56",10
"57",3
"58",7
"59",8
"60",3
"61",1
"62",8
"63",5
"64",2
"65",6
"66",4
"67",10
"68",6
"69",5
"70",7
"71",6
"72",2
"73",3
"74",2
"75",2
"76",4
"77",8
"78",9
"79",1
"80",1
"81",3
"82",3
"83",5
"84",4
"85",2
"86",3
"87",2
"88",10
"89",1
"90",1
"91",5
"92",6
"93",4
"94",2
"95",7
"96",1
"97",2
"98",1
"99",6
"100",2
"101",8
"102",7
"103",10
"104",10
"105",5
"106",1
"107",3
"108",8
"109",9
"110",2
"111",4
"112",1
"113",4
"114",1
"115",8
"116",5
"117",1
"118",7
"119",1
"120",10
"121",7
"122",1
"123",9
"124",10
"125",3
"126",9
"127",3
"128",8
"129",8
"130",10
"131",6
"132",7
"133",10
"134",7
"135",1
"136",8
"137",8
"138",6
"139",6
"140",3
"141",1
"142",10
"143",6
"144",5
"145",3
"146",6
"147",2
"148",8
"149",6
"150",10
"151",7
"152",7
"153",10
"154",1
"155",10
"156",1
"157",8
"158",2
"159",1
"160",8
"161",8
"162",4
"163",8
"164",6
"165",8
"166",5
"167",2
"168",8
"169",6
"170",5
"171",2
"172",5
"173",2
"174",5
"175",1
"176",2
"177",10
"178",5
"179",6
"180",9
"181",5
"182",10
"183",9
"184",10
"185",3
"186",4
"187",7
"188",2
"189",2
"190",5
"191",10
"192",7
"193",9
"194",6
"195",4
"196",9
"197",6
"198",8
"199",5
"200",4
"201",8
"202",3
"203",1
"204",7
"205",10
"206",1
"207",2
"208",4
"209",2
"210",8
"211",2
"212",7
"213",6
"214",6
"215",3
"216",5
"217",9
"218",2
"219",5
"220",5
"221",4
"222",10
"223",3
"224",2
"225",8
"226",10
"227",5
"228",3
"229",4
"230",5
"231",1
"232",2
"233",1
"234",9
"235",3
"236",2
"237",9
"238",5
"239",7
"240",1
"241",9
"242",7
"243",5
"244",2
"245",3
"246",10
"247",6
"248",4
"249",6
"250",7
"251",10
"252",9
"253",1
"254",8
"255",4
"256",5
"257",5
"258",3
"259",5
"260",3
"261",1
"262",8
"263",9
"264",2
"265",10
"266",5
"267",2
"268",5
"269",4
"270",6
"271",6
"272",7
"273",10
"274",2
"275",7
"276",5
"277",5
"278",6
"279",7
"280",7
"281",1
"282",1
"283",1
"284",5
"285",10
"286",7
"287",8
"288",10
"289",3
"290",8
"291",1
"292",7
"293",4
"294",7
"295",10
"296",6
"297",2
"298",8
"299",6
"300",7
"301",4
"302",2
"303",3
"304",9
"305",2
"306",7
"307",3
"308",10
"309",8
"310",6
"311",6
"312",10
"313",3
"314",1
"315",5
"316",10
"317",9
"318",6
"319",8
"320",8
"321",4
"322",3
"323",3
"324",6
"325",2
"326",3
"327",7
"328",7
"329",8
"330",8
"331",10
"332",1
"333",3
"334",10
"335",6
"336",4
"337",9
"338",5
"339",1
"340",5
"341",3
"342",5
"343",8
"344",1
"345",6
"346",5
"347",5
"348",10
"349",8
"350",9
"351",3
"352",8
"353",2
"354",6
"355",9
"356",2
"357",2
"358",4
"359",5
"360",9
"361",10
"362",2
"363",1
"364",10
"365",5
"366",3
"367",4
"368",7
"369",6
"370",3
"371",10
"372",2
"373",8
