gene snp weight
gene1 rs1 1
gene1 rs2 1
gene1 rs3 1
gene1 rs4 1
gene1 rs5 1
gene1 rs6 1
gene1 rs7 1
gene1 rs8 1
gene1 rs9 1
gene1 rs10 1
gene1 rs11 1
gene1 rs12 1
gene1 rs13 1
gene1 rs14 1
gene1 rs15 1
gene1 rs16 1
gene1 rs17 1
gene1 rs18 1
gene1 rs19 1
gene1 rs20 1
gene1 rs21 1
gene1 rs22 1
gene1 rs23 1
gene1 rs24 1
gene1 rs25 1
gene1 rs26 1
gene1 rs27 1
gene1 rs28 1
gene1 rs29 1
gene1 rs30 1
gene1 rs31 1
gene1 rs32 1
gene1 rs33 1
gene1 rs34 1
gene1 rs35 1
gene1 rs36 1
gene1 rs37 1
gene1 rs38 1
gene1 rs39 1
gene1 rs40 1
gene1 rs41 1
gene1 rs42 1
gene1 rs43 1
gene1 rs44 1
gene1 rs45 1
gene1 rs46 1
gene1 rs47 1
gene1 rs48 1
gene1 rs49 1
gene1 rs50 1
gene2 rs51 1
gene2 rs52 1
gene2 rs53 1
gene2 rs54 1
gene2 rs55 1
gene2 rs56 1
gene2 rs57 1
gene2 rs58 1
gene2 rs59 1
gene2 rs60 1
gene2 rs61 1
gene2 rs62 1
gene2 rs63 1
gene2 rs64 1
gene2 rs65 1
gene2 rs66 1
gene2 rs67 1
gene2 rs68 1
gene2 rs69 1
gene2 rs70 1
gene2 rs71 1
gene2 rs72 1
gene2 rs73 1
gene2 rs74 1
gene2 rs75 1
gene2 rs76 1
gene2 rs77 1
gene2 rs78 1
gene2 rs79 1
gene2 rs80 1
gene2 rs81 1
gene2 rs82 1
gene2 rs83 1
gene2 rs84 1
gene2 rs85 1
gene2 rs86 1
gene2 rs87 1
gene2 rs88 1
gene2 rs89 1
gene2 rs90 1
gene2 rs91 1
gene2 rs92 1
gene2 rs93 1
gene2 rs94 1
gene2 rs95 1
gene2 rs96 1
gene2 rs97 1
gene2 rs98 1
gene2 rs99 1
gene2 rs100 1
gene3 rs101 1
gene3 rs102 1
gene3 rs103 1
gene3 rs104 1
gene3 rs105 1
gene3 rs106 1
gene3 rs107 1
gene3 rs108 1
gene3 rs109 1
gene3 rs110 1
gene3 rs111 1
gene3 rs112 1
gene3 rs113 1
gene3 rs114 1
gene3 rs115 1
gene3 rs116 1
gene3 rs117 1
gene3 rs118 1
gene3 rs119 1
gene3 rs120 1
gene3 rs121 1
gene3 rs122 1
gene3 rs123 1
gene3 rs124 1
gene3 rs125 1
gene3 rs126 1
gene3 rs127 1
gene3 rs128 1
gene3 rs129 1
gene3 rs130 1
gene3 rs131 1
gene3 rs132 1
gene3 rs133 1
gene3 rs134 1
gene3 rs135 1
gene3 rs136 1
gene3 rs137 1
gene3 rs138 1
gene3 rs139 1
gene3 rs140 1
gene3 rs141 1
gene3 rs142 1
gene3 rs143 1
gene3 rs144 1
gene3 rs145 1
gene3 rs146 1
gene3 rs147 1
gene3 rs148 1
gene3 rs149 1
gene3 rs150 1
gene4 rs151 1
gene4 rs152 1
gene4 rs153 1
gene4 rs154 1
gene4 rs155 1
gene4 rs156 1
gene4 rs157 1
gene4 rs158 1
gene4 rs159 1
gene4 rs160 1
gene4 rs161 1
gene4 rs162 1
gene4 rs163 1
gene4 rs164 1
gene4 rs165 1
gene4 rs166 1
gene4 rs167 1
gene4 rs168 1
gene4 rs169 1
gene4 rs170 1
gene4 rs171 1
gene4 rs172 1
gene4 rs173 1
gene4 rs174 1
gene4 rs175 1
gene4 rs176 1
gene4 rs177 1
gene4 rs178 1
gene4 rs179 1
gene4 rs180 1
gene4 rs181 1
gene4 rs182 1
gene4 rs183 1
gene4 rs184 1
gene4 rs185 1
gene4 rs186 1
gene4 rs187 1
gene4 rs188 1
gene4 rs189 1
gene4 rs190 1
gene4 rs191 1
gene4 rs192 1
gene4 rs193 1
gene4 rs194 1
gene4 rs195 1
gene4 rs196 1
gene4 rs197 1
gene4 rs198 1
gene4 rs199 1
gene4 rs200 1
gene5 rs201 1
gene5 rs202 1
gene5 rs203 1
gene5 rs204 1
gene5 rs205 1
gene5 rs206 1
gene5 rs207 1
gene5 rs208 1
gene5 rs209 1
gene5 rs210 1
gene5 rs211 1
gene5 rs212 1
gene5 rs213 1
gene5 rs214 1
gene5 rs215 1
gene5 rs216 1
gene5 rs217 1
gene5 rs218 1
gene5 rs219 1
gene5 rs220 1
gene5 rs221 1
gene5 rs222 1
gene5 rs223 1
gene5 rs224 1
gene5 rs225 1
gene5 rs226 1
gene5 rs227 1
gene5 rs228 1
gene5 rs229 1
gene5 rs230 1
gene5 rs231 1
gene5 rs232 1
gene5 rs233 1
gene5 rs234 1
gene5 rs235 1
gene5 rs236 1
gene5 rs237 1
gene5 rs238 1
gene5 rs239 1
gene5 rs240 1
gene5 rs241 1
gene5 rs242 1
gene5 rs243 1
gene5 rs244 1
gene5 rs245 1
gene5 rs246 1
gene5 rs247 1
gene5 rs248 1
gene5 rs249 1
gene5 rs250 1
