CRAF	 RAF1
CX26	GJB2
CX30	GJB6
CX43	GJA3
DVL	 DVL2
EIF2BS1	 eIF2B
EIF2BS2	 eIF2
ERK1	 MAPK3
ERK2	MAP2K2
GbL	 MLST8
GSK3b	 GSKIP
IKKa	CHUK
IL12a	 IL12A
IL12b	 IL12B
IL15Ra	 IL15RA
IL17a	 IL17A
IL1a	 IL1A
IL1b	 IL1B
IL2Ra	 IL2RA
IL2Rb	 IL2RB
IL2Rg	 IL2RG
IRS-1	 IRS1
JNK1	MAPK8
JNK2	 MAPK9
MEK1	 MAP2K1
MEK2	 MAP2K2
MKK3	 MAP2K3
MKK4	 MAP2K4
MKK6	 MAP2K6
MKK7	 MAP2K7
MRIP	 AGAP6
mTOR	 MTOR
NNOS	 NOS3
P27/Kip1	 CIB1
P38 MAPK	 MAPK14
P70S6K	 RPS6KB1
PGK	 GCK
PLCg2	 PLCG2
PSD93	 DLG2
PSD95	 DLG4
RAPTOR	 RPTOR
RSK	 RPS6KA
SAP102	 DLG3
SAP97	 DLG1
SIN1	 MAPKAP1
TAK	 Tak
TGFb1	 TGFB1
TPL2	 MAP3K8
TRKA	 NTRK1
TRKB	 NTRK2
TRKC	 NTRK3
TUBA3	 TUBA1A
